0, 0, 0
1, 1, 0
1, 1, 1
1, 0, 1
2, 2, 0
2, 2, 1
2, 1, 2
2, 0, 2
3, 3, 0
3, 3, 1
3, 3, 2
3, 2, 2
3, 2, 3
3, 1, 3
3, 0, 3
4, 4, 0
4, 4, 1
4, 4, 2
4, 3, 3
4, 2, 4
4, 1, 4
4, 0, 4
5, 5, 0
5, 5, 1
5, 5, 2
5, 4, 3
5, 4, 4
5, 3, 4
5, 2, 5
5, 1, 5
5, 0, 5
6, 6, 0
6, 6, 1
6, 6, 2
6, 6, 3
6, 5, 3
6, 5, 4
6, 4, 5
6, 3, 5
6, 3, 6
6, 2, 6
6, 1, 6
6, 0, 6
7, 7, 0
7, 7, 1
7, 7, 2
7, 7, 3
7, 6, 4
7, 6, 5
7, 5, 5
7, 5, 6
7, 4, 6
7, 3, 7
7, 2, 7
7, 1, 7
7, 0, 7
8, 8, 0
8, 8, 1
8, 8, 2
8, 8, 3
8, 8, 4
8, 7, 4
8, 7, 5
8, 7, 6
8, 6, 6
8, 6, 7
8, 5, 7
8, 4, 7
8, 4, 8
8, 3, 8
8, 2, 8
8, 1, 8
8, 0, 8
